book_title,book_author,book_first_publish_year,book_url,language,artwork_title,artwork_artist,artwork_medium,artwork_date,artwork_url,track_title,track_artist,album_title,track_release_date,preview_url,ingest_ts
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,A Peasant Family,Antoine Le Nain,Oil on copper,ca. 1640–48,https://www.metmuseum.org/art/collection/search/438779,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869213
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,A Peasant Family,Antoine Le Nain,Oil on copper,ca. 1640–48,https://www.metmuseum.org/art/collection/search/438779,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869216
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Stela of Ptahmose,,Limestone,ca. 1320–1290 B.C.,https://www.metmuseum.org/art/collection/search/549236,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869220
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Stela of Ptahmose,,Limestone,ca. 1320–1290 B.C.,https://www.metmuseum.org/art/collection/search/549236,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869222
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Stela of Ptahmose,,Limestone,ca. 1320–1290 B.C.,https://www.metmuseum.org/art/collection/search/549236,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869225
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),"Tempera on canvas, transferred from wood",ca. 1490,https://www.metmuseum.org/art/collection/search/437368,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869229
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),"Tempera on canvas, transferred from wood",ca. 1490,https://www.metmuseum.org/art/collection/search/437368,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869231
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Holy Family with an Angel,Raffaellino del Garbo (also known as Raffaelle de' Capponi and Raffaelle de' Carli),"Tempera on canvas, transferred from wood",ca. 1490,https://www.metmuseum.org/art/collection/search/437368,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869234
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Zheng Huangniu and Yushanzhu,Kano Naizen,Pair of hanging scrolls; ink on paper,early 17th century,https://www.metmuseum.org/art/collection/search/53238,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869238
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Zheng Huangniu and Yushanzhu,Kano Naizen,Pair of hanging scrolls; ink on paper,early 17th century,https://www.metmuseum.org/art/collection/search/53238,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869241
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Zheng Huangniu and Yushanzhu,Kano Naizen,Pair of hanging scrolls; ink on paper,early 17th century,https://www.metmuseum.org/art/collection/search/53238,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869246
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,"Studies for Hercules Holding a Club Seen in Frontal View, Male Nude Unsheathing a Sword, and the Movements of Water (Recto); Study for Hercules Holding a Club Seen in Rear View (Verso)",Leonardo da Vinci,Pen and brown ink; soft black chalk or charcoal (recto); soft black chalk or charcoal (verso),ca. 1506–8,https://www.metmuseum.org/art/collection/search/341703,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869257
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,"Studies for Hercules Holding a Club Seen in Frontal View, Male Nude Unsheathing a Sword, and the Movements of Water (Recto); Study for Hercules Holding a Club Seen in Rear View (Verso)",Leonardo da Vinci,Pen and brown ink; soft black chalk or charcoal (recto); soft black chalk or charcoal (verso),ca. 1506–8,https://www.metmuseum.org/art/collection/search/341703,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869260
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,"Studies for Hercules Holding a Club Seen in Frontal View, Male Nude Unsheathing a Sword, and the Movements of Water (Recto); Study for Hercules Holding a Club Seen in Rear View (Verso)",Leonardo da Vinci,Pen and brown ink; soft black chalk or charcoal (recto); soft black chalk or charcoal (verso),ca. 1506–8,https://www.metmuseum.org/art/collection/search/341703,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869263
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Self-Portrait,Salvator Rosa,Oil on canvas,ca. 1647,https://www.metmuseum.org/art/collection/search/437508,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869266
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Self-Portrait,Salvator Rosa,Oil on canvas,ca. 1647,https://www.metmuseum.org/art/collection/search/437508,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869269
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Self-Portrait,Salvator Rosa,Oil on canvas,ca. 1647,https://www.metmuseum.org/art/collection/search/437508,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869272
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Unfinished pseudo block statue,,Diorite,664–610 B.C.,https://www.metmuseum.org/art/collection/search/552008,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869275
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Unfinished pseudo block statue,,Diorite,664–610 B.C.,https://www.metmuseum.org/art/collection/search/552008,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869302
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Unfinished pseudo block statue,,Diorite,664–610 B.C.,https://www.metmuseum.org/art/collection/search/552008,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869307
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Mirror with Split-Leaf Palmette Design Inlaid with Gold,,"Iron, inlaid with gold; ivory",early 16th century,https://www.metmuseum.org/art/collection/search/452364,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869315
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Mirror with Split-Leaf Palmette Design Inlaid with Gold,,"Iron, inlaid with gold; ivory",early 16th century,https://www.metmuseum.org/art/collection/search/452364,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869319
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Mirror with Split-Leaf Palmette Design Inlaid with Gold,,"Iron, inlaid with gold; ivory",early 16th century,https://www.metmuseum.org/art/collection/search/452364,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869324
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,That is Right,Edward Ruscha,B.A.T. proof from the portfolio,1989,https://www.metmuseum.org/art/collection/search/700025,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869329
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,That is Right,Edward Ruscha,B.A.T. proof from the portfolio,1989,https://www.metmuseum.org/art/collection/search/700025,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869334
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,That is Right,Edward Ruscha,B.A.T. proof from the portfolio,1989,https://www.metmuseum.org/art/collection/search/700025,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869339
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Dwarf (one of a pair),Villeroy,Tin-glazed soft-paste porcelain decorated in polychrome enamels,ca. 1740–45,https://www.metmuseum.org/art/collection/search/207157,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869344
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Dwarf (one of a pair),Villeroy,Tin-glazed soft-paste porcelain decorated in polychrome enamels,ca. 1740–45,https://www.metmuseum.org/art/collection/search/207157,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869348
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Dwarf (one of a pair),Villeroy,Tin-glazed soft-paste porcelain decorated in polychrome enamels,ca. 1740–45,https://www.metmuseum.org/art/collection/search/207157,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869353
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Shoulao,Chantilly,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,ca. 1735–40,https://www.metmuseum.org/art/collection/search/207247,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869359
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Shoulao,Chantilly,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,ca. 1735–40,https://www.metmuseum.org/art/collection/search/207247,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869366
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,Shoulao,Chantilly,Tin-glazed soft-paste porcelain decorataed in polychrome enamels,ca. 1735–40,https://www.metmuseum.org/art/collection/search/207247,Chasin' You,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869370
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,The Fifteen Mysteries and the Virgin of the Rosary,Netherlandish (Brussels) Painter,Oil on wood,ca. 1515–20,https://www.metmuseum.org/art/collection/search/437216,All The Stars (with SZA),Kendrick Lamar,Black Panther The Album Music From And Inspired By,2018-02-09,,2025-05-19T10:24:47.869373
Normal People,Sally Rooney,2018,https://openlibrary.org/works/OL20150260W,eng,The Fifteen Mysteries and the Virgin of the Rosary,Netherlandish (Brussels) Painter,Oil on wood,ca. 1515–20,https://www.metmuseum.org/art/collection/search/437216,Whiskey Glasses,Morgan Wallen,If I Know Me,2018-04-27,,2025-05-19T10:24:47.869376
