ticker,Date,Open,High,Low,Close,Volume
AAPL,2024-04-18T04:00:00.000Z,167.2403118926,167.8474456965,165.7672716684,166.2549591064,43122900
AAPL,2024-04-19T04:00:00.000Z,165.4288837473,165.6179780634,163.3088890665,164.2245635986,67772100
AAPL,2024-04-22T04:00:00.000Z,164.7421196925,166.4739325976,163.9956444232,165.0606079102,48116400
AAPL,2024-04-23T04:00:00.000Z,164.5729125122,166.2649200036,164.1449254812,166.1156158447,49537800
AAPL,2024-04-24T04:00:00.000Z,165.7573065341,168.5043451026,165.4288707972,168.2256622314,48251800
AAPL,2024-04-25T04:00:00.000Z,168.7332592763,169.8081854268,167.3597399973,169.0915679932,50558300
AAPL,2024-04-26T04:00:00.000Z,169.0816247682,170.5347547439,168.3849023882,168.5043487549,44838400
AAPL,2024-04-29T04:00:00.000Z,172.5552069321,175.2027093563,172.2864867877,172.6846008301,68169400
AAPL,2024-04-30T04:00:00.000Z,172.5154115491,174.1676137756,169.20105956,169.529510498,65934800
AAPL,2024-05-01T04:00:00.000Z,168.7830316321,171.898326522,168.3152392624,168.5043487549,50383100
AAPL,2024-05-02T04:00:00.000Z,171.699266931,172.604993942,170.0868851392,172.2168273926,94214900
AAPL,2024-05-03T04:00:00.000Z,185.7727942524,186.121155431,181.8015557894,182.5181732178,163224100
AAPL,2024-05-06T04:00:00.000Z,181.4930402544,183.3343369455,179.5721025191,180.856048584,78569700
AAPL,2024-05-07T04:00:00.000Z,182.5878387482,184.0310211596,180.4678594161,181.5427703857,77305800
AAPL,2024-05-08T04:00:00.000Z,181.9906787165,182.2096460129,180.5972490864,181.8811950684,45057100
AAPL,2024-05-09T04:00:00.000Z,181.7020275404,183.792164328,181.254145425,183.7025909424,48983000
AAPL,2024-05-10T04:00:00.000Z,184.28065325,184.4700192596,181.5199425859,182.4368591309,50759500
AAPL,2024-05-13T04:00:00.000Z,184.8188384959,186.4732816834,184.0015779307,185.6560211182,72044800
AAPL,2024-05-14T04:00:00.000Z,186.8818883883,187.6692506252,185.665973831,186.802154541,52393600
AAPL,2024-05-15T04:00:00.000Z,187.2805836101,190.0113960212,186.7423838683,189.0845184326,70400000
AAPL,2024-05-16T04:00:00.000Z,189.8319961586,190.4598907548,189.0247117966,189.2041015625,52845200
AAPL,2024-05-17T04:00:00.000Z,188.8751988027,190.1708472749,188.5463023685,189.2339935303,41282900
AAPL,2024-05-20T04:00:00.000Z,188.695821784,191.2771426664,188.3768863568,190.4000854492,44361300
AAPL,2024-05-21T04:00:00.000Z,190.4499145429,192.0844205327,190.2804858058,191.7057037354,42309400
AAPL,2024-05-22T04:00:00.000Z,191.6259651303,192.1741258588,189.6326644503,190.2605438232,34648500
AAPL,2024-05-23T04:00:00.000Z,190.3402857633,190.3602230291,186.0048657247,186.2540283203,51005900
AAPL,2024-05-24T04:00:00.000Z,188.1875250895,189.9416242186,187.4101238308,189.3436279297,36294600
AAPL,2024-05-28T04:00:00.000Z,190.868489393,192.353503783,188.4665737792,189.3535919189,52280100
AAPL,2024-05-29T04:00:00.000Z,188.9748881584,191.6060446786,188.8752170326,189.6526031494,53068000
AAPL,2024-05-30T04:00:00.000Z,190.1210227263,191.5362644537,189.9914685169,190.6492462158,49947900
AAPL,2024-05-31T04:00:00.000Z,190.79874896,191.9249687428,189.273875113,191.6060333252,75158300
AAPL,2024-06-03T04:00:00.000Z,192.2538461576,194.336856944,191.8751293664,193.380065918,50080500
AAPL,2024-06-04T04:00:00.000Z,193.9880117608,194.6657418657,192.3834041862,193.6989898682,47471400
AAPL,2024-06-05T04:00:00.000Z,194.7454708275,196.2404463412,194.2172473626,195.2138977051,54156800
AAPL,2024-06-06T04:00:00.000Z,195.0345058388,195.8417901742,193.5195930765,193.8285522461,41181800
AAPL,2024-06-07T04:00:00.000Z,193.9979817818,196.2803195671,193.4896955853,196.2304840088,53103900
AAPL,2024-06-10T04:00:00.000Z,196.240435627,196.6391048668,191.5063467589,192.4730987549,97262100
AAPL,2024-06-11T04:00:00.000Z,193.0013358801,206.4660919592,192.9814138225,206.4561157227,172373300
AAPL,2024-06-12T04:00:00.000Z,206.6753885384,219.4624149927,206.2069616339,212.3563079834,198134300
AAPL,2024-06-13T04:00:00.000Z,214.0206945433,216.0239562056,210.8912131562,213.5223693848,97862700
AAPL,2024-06-14T04:00:00.000Z,213.1336737827,214.4492442772,210.5922124637,211.7782287598,70122700
AAPL,2024-06-17T04:00:00.000Z,212.6552799353,218.2165907033,212.007463292,215.944229126,93728300
AAPL,2024-06-18T04:00:00.000Z,216.8611384124,217.8976632564,212.286517116,213.5721893311,79943300
AAPL,2024-06-20T04:00:00.000Z,213.2133944513,213.5223688232,208.1504242371,208.9776306152,86172500
AAPL,2024-06-21T04:00:00.000Z,209.6852782626,211.1802538713,206.4162661483,206.7949981689,246421400
AAPL,2024-06-24T04:00:00.000Z,207.0242187228,211.9875333707,205.8979989238,207.4428100586,80727000
AAPL,2024-06-25T04:00:00.000Z,208.4494085843,210.67194975,207.9112241023,208.3696899414,56713900
AAPL,2024-06-26T04:00:00.000Z,210.7915521691,214.1402980034,209.934432247,212.5356903076,66213200
AAPL,2024-06-27T04:00:00.000Z,213.9708783668,215.017364336,211.6387200637,213.3828582764,49772700
