"keyword","date","interest_score","related_event_id","related_team_id","created_at"
"Kansas City Chiefs","2025-04-19",30,"2206642","134931","2025-05-18T20:22:32.686288"
"Kansas City Chiefs","2025-04-20",29,"2206642","134931","2025-05-18T20:22:32.686486"
"Kansas City Chiefs","2025-04-21",31,"2206642","134931","2025-05-18T20:22:32.686642"
"Kansas City Chiefs","2025-04-22",29,"2206642","134931","2025-05-18T20:22:32.686777"
"Kansas City Chiefs","2025-04-23",29,"2206642","134931","2025-05-18T20:22:32.686899"
"Kansas City Chiefs","2025-04-24",57,"2206642","134931","2025-05-18T20:22:32.687021"
"Kansas City Chiefs","2025-04-25",90,"2206642","134931","2025-05-18T20:22:32.687141"
"Kansas City Chiefs","2025-04-26",100,"2206642","134931","2025-05-18T20:22:32.687266"
"Kansas City Chiefs","2025-04-27",64,"2206642","134931","2025-05-18T20:22:32.687386"
"Kansas City Chiefs","2025-04-28",44,"2206642","134931","2025-05-18T20:22:32.687513"
"Kansas City Chiefs","2025-04-29",37,"2206642","134931","2025-05-18T20:22:32.687637"
"Kansas City Chiefs","2025-04-30",31,"2206642","134931","2025-05-18T20:22:32.687758"
"Kansas City Chiefs","2025-05-01",36,"2206642","134931","2025-05-18T20:22:32.687876"
"Kansas City Chiefs","2025-05-02",37,"2206642","134931","2025-05-18T20:22:32.687994"
"Kansas City Chiefs","2025-05-03",31,"2206642","134931","2025-05-18T20:22:32.688112"
"Kansas City Chiefs","2025-05-04",33,"2206642","134931","2025-05-18T20:22:32.688230"
"Kansas City Chiefs","2025-05-05",31,"2206642","134931","2025-05-18T20:22:32.688348"
"Kansas City Chiefs","2025-05-06",43,"2206642","134931","2025-05-18T20:22:32.688475"
"Kansas City Chiefs","2025-05-07",48,"2206642","134931","2025-05-18T20:22:32.688599"
"Kansas City Chiefs","2025-05-08",37,"2206642","134931","2025-05-18T20:22:32.688717"
"Kansas City Chiefs","2025-05-09",29,"2206642","134931","2025-05-18T20:22:32.688835"
"Kansas City Chiefs","2025-05-10",30,"2206642","134931","2025-05-18T20:22:32.688955"
"Kansas City Chiefs","2025-05-11",38,"2206642","134931","2025-05-18T20:22:32.689052"
"Kansas City Chiefs","2025-05-12",39,"2206642","134931","2025-05-18T20:22:32.689135"
"Kansas City Chiefs","2025-05-13",46,"2206642","134931","2025-05-18T20:22:32.689218"
"Kansas City Chiefs","2025-05-14",58,"2206642","134931","2025-05-18T20:22:32.689313"
"Kansas City Chiefs","2025-05-15",89,"2206642","134931","2025-05-18T20:22:32.689399"
"Kansas City Chiefs","2025-05-16",41,"2206642","134931","2025-05-18T20:22:32.689483"
"Kansas City Chiefs","2025-05-17",36,"2206642","134931","2025-05-18T20:22:32.689566"
"Kansas City Chiefs","2025-05-18",33,"2206642","134931","2025-05-18T20:22:32.689652"
"Kansas City Chiefs","2025-05-19",61,"2206642","134931","2025-05-18T20:22:32.689748"
