movie_id,title,release_date,popularity,vote_average,vote_count,genres,overview,box_office,imdb_rating,rotten_tomatoes_rating,metacritic_rating,awards
77338,The Intouchables,2011-11-02,16.2944,8.272,17569,"['Drama', 'Comedy']",,"$10,198,820",8.5,76%,57/100,Nominated for 1 BAFTA Award38 wins & 40 nominations total
28,Apocalypse Now,1979-08-15,10.0221,8.272,8465,"['Drama', 'War']",,"$96,042,913",8.4,90%,94/100,Won 2 Oscars. 21 wins & 33 nominations total
901,City Lights,1931-03-07,3.1752,8.27,2249,"['Comedy', 'Drama', 'Romance']",,"$19,181",8.5,95%,99/100,6 wins total
533514,Violet Evergarden: The Movie,2021-03-30,9.4936,8.3,440,"['Animation', 'Fantasy', 'Romance', 'Drama']",,N/A,8.3,100%,,1 win & 3 nominations total
975,Paths of Glory,1957-12-20,6.5229,8.258,3014,"['War', 'Drama', 'History']",,N/A,8.4,96%,90/100,Nominated for 1 BAFTA Award5 wins & 3 nominations total
637920,Miracle in Cell No. 7,2019-10-10,6.9033,8.3,4451,['Drama'],,N/A,8.2,,,12 wins & 13 nominations total
8587,The Lion King,1994-06-15,33.4749,8.257,18702,"['Family', 'Animation', 'Drama']",,"$424,979,720",8.5,93%,88/100,Won 2 Oscars. 43 wins & 35 nominations total
10376,The Legend of 1900,1998-10-28,3.1332,8.255,2300,"['Drama', 'Music']",,"$167,435",8.0,56%,58/100,22 wins & 10 nominations total
670,Oldboy,2005-03-11,21.0917,8.251,8976,"['Drama', 'Thriller', 'Mystery', 'Action']",,"$2,458,200",8.3,82%,78/100,43 wins & 28 nominations total
630566,Clouds,2020-10-09,5.2828,8.25,1017,"['Music', 'Drama', 'Romance']",,N/A,7.5,83%,55/100,2 wins & 2 nominations total
29259,Le Trou,1964-05-26,2.6065,8.2,503,"['Drama', 'Thriller', 'Crime']",,"$34,588",8.5,,,Nominated for 2 BAFTA 2 wins & 4 nominations total
572154,Rascal Does Not Dream of a Dreaming Girl,2019-10-02,9.5888,8.244,535,"['Animation', 'Romance', 'Drama', 'Fantasy']",,,9.0,,,N/A
568332,Taylor Swift: Reputation Stadium Tour,2018-12-31,2.8186,8.244,401,['Music'],,N/A,8.4,,,2 nominations
504253,I Want to Eat Your Pancreas,2019-02-07,13.2385,8.24,1608,"['Animation', 'Drama', 'Romance']",,"$277,019",8.0,,,2 wins & 2 nominations
447362,Life in a Year,2020-11-27,6.4404,8.24,1909,"['Drama', 'Romance']",,N/A,6.2,,,N/A
508965,Klaus,2019-11-08,9.6717,8.239,4248,"['Animation', 'Family', 'Adventure', 'Comedy', 'Fantasy']",,N/A,8.2,95%,65/100,Nominated for 1 Oscar. 11 wins & 27 nominations total
995133,"The Boy, the Mole, the Fox and the Horse",2022-12-24,7.2897,8.238,622,"['Animation', 'Family', 'Adventure', 'Fantasy']",,N/A,7.8,75%,75/100,Won 1 Oscar. 6 wins & 6 nominations total
527641,Five Feet Apart,2019-03-15,13.0696,8.238,5707,"['Romance', 'Drama']",,"$45,729,221",7.2,52%,53/100,3 wins & 8 nominations total
299534,Avengers: Endgame,2019-04-26,79.3322,8.237,26268,"['Adventure', 'Science Fiction', 'Action']",,"$858,373,000",8.4,94%,78/100,Nominated for 1 Oscar. 71 wins & 133 nominations total
25237,Come and See,1985-12-06,5.3253,8.2,1581,"['Drama', 'War']",,"$71,909",8.4,89%,,3 wins
299536,Avengers: Infinity War,2018-04-27,130.5899,8.235,30453,"['Adventure', 'Action', 'Science Fiction']",,"$678,815,482",8.4,85%,68/100,Nominated for 1 Oscar. 48 wins & 81 nominations total
283566,Evangelion: 3.0+1.0 Thrice Upon a Time,2022-12-06,4.71,8.235,844,"['Animation', 'Action', 'Science Fiction', 'Drama']",,"$810,744",8.0,100%,85/100,4 wins & 4 nominations total
490132,Green Book,2018-11-16,21.4709,8.233,11966,"['Drama', 'History']",,"$85,080,171",8.2,77%,69/100,Won 3 Oscars. 58 wins & 123 nominations total
654299,Out of the Clear Blue Sky,2019-12-24,1.4721,8.231,355,"['Comedy', 'Drama', 'Music']",,N/A,6.5,,,N/A
265177,Mommy,2015-01-23,5.7309,8.2,2749,['Drama'],,"$3,494,070",8.0,89%,74/100,58 wins & 65 nominations total
